title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review
Ada Fashion Modish Sling Bag Stylish Trending Cross Body Latest Handbag For Women/Girls,Ada _Fashions,698 rupees ,4.1 out of 5,300 g,22x9x14 cm,94 hours,40 rupees ,1 rating
"Newphoria P15 Black Purse Women Fashion Stylish Handbags, Banquet Clutch for Girls",ACCENTSBAZAR,1549 rupees ,1.0 out of 5,240 g,195x169x113 cm,70 hours,79 rupees ,636 ratings
"VRITRAZ Sparkling Fancy Clutches, Evening Bridal Wedding Party Clutch Purse for Women Glitter",eshop19,599 rupees ,3.7 out of 5,170 g,261x117x53 cm,94 hours,40 rupees ,225 ratings
INOVERA (LABEL) Women's Floral Evening Clutch Ladies Party Wedding Purse Bag (Rose Gold),Opus_Retail,749 rupees ,4.2 out of 5,410 g,20x5x105 cm,94 hours,40 rupees ,42 ratings
EXOTIC starelipse Bridal clutch,UBIQUITOUSEXOTIC®,899 rupees ,4.3 out of 5,440 g,22x6x12 cm,70 hours,79 rupees ,6 ratings
ADISA Constellation formal party clutch with gold chain for women and girls,Cocoblu Retail,598 rupees ,4.0 out of 5,300 g,2032x508x1207 cm,70 hours,79 rupees ,35 ratings
SABYANSHI women party clutches,Ask creations,1699 rupees ,3.9 out of 5,450 g,186x8x28 cm,70 hours,79 rupees ,158 ratings
TOOBA Women Clutch Bag Purse,Tooba handicraft,681 rupees ,3.7 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,17 ratings
Trend Overseas Antique Indian art Handmade Stone mosaic metal bag Women/Girls Bridal metal clutch party sling bag,Trend Overseas,999 rupees ,3.8 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,763 ratings
Lavie Women's Bow Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729 rupees ,4.3 out of 5,100 g,85x35x115 cm,118 hours,40 rupees ,7 ratings
DOSYSO Rhinestone Crossbody sling Bag with Chain strap side Bag Evening Clutch Pearl Handle Designer Handbags for Women Stylish Latest Girls Glitter Ladies Purse for Party Wedding,DOSYSO CREATIONS,749 rupees ,5.0 out of 5,350 g,18x6x13 cm,46 hours,99 rupees ,"2,678 ratings"
ADISA women girls laser cut crossbody sling bag with gold chain,Cocoblu Retail,399 rupees ,4.1 out of 5,360 g,1803x762x1397 cm,46 hours,99 rupees ,40 ratings
Lavie Women's Shimmer Oval Frame Clutch | Ladies Purse Handbag,Cocoblu Retail,699 rupees ,4.0 out of 5,350 g,20x5x11 cm,94 hours,40 rupees ,75 ratings
Peora Clutch Purses for Women Wedding Handmade Evening Handbags Party Bridal Clutch,M.K.ENT.,1249 rupees ,3.8 out of 5,185 g,24x15x155 cm,94 hours,40 rupees ,115 ratings
DUCHESS Women's Clutches,DUCHESS,799 rupees ,4.4 out of 5,245 g,1778x508x1016 cm,46 hours,99 rupees ,19 ratings
NORVE PU Clutch Purses for Women Wedding Handmade Evening Sidebags Party Bridal Clutch,KWALITY BAG,490 rupees ,3.9 out of 5,450 g,1778x508x1016 cm,70 hours,79 rupees ,666 ratings
Kuber Industries Women's Utility (Maroon),ETrade Online,342 rupees ,3.6 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,244 ratings
Lavie Tinkle Framed,LAVIE*,729 rupees ,3.9 out of 5,300 g,20x3x12 cm,46 hours,99 rupees ,32 ratings
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,495 rupees ,4.1 out of 5,350 g,18x6x12 cm,70 hours,79 rupees ,714 ratings
ADISA CL005 formal women girls clutch,Cocoblu Retail,498 rupees ,4.0 out of 5,250 g,298x32x178 cm,70 hours,79 rupees ,42 ratings
EXOTIC starelipse Bridal clutch,UBIQUITOUSEXOTIC®,899 rupees ,4.3 out of 5,440 g,22x6x12 cm,70 hours,79 rupees ,497 ratings
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729 rupees ,4.3 out of 5,100 g,85x35x115 cm,214 hours,40 rupees ,72 ratings
TOOBA Classy Party Girl's Clutch (White),Tooba handicraft,599 rupees ,3.6 out of 5,200 g,17x6x11 cm,70 hours,79 rupees ,"3,186 ratings"
ADISA women girls party crossbody sling bag with gold chain,Cocoblu Retail,498 rupees ,4.0 out of 5,350 g,2159x889x1651 cm,46 hours,99 rupees ,119 ratings
Duchess Women's Hand Embroidered Clutches,DUCHESS,1099 rupees ,4.2 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,188 ratings
Lavie Women's Amara Round Potli | Ladies Purse Handbag,Cocoblu Retail,349 rupees ,3.8 out of 5,200 g,22x1x23 cm,46 hours,99 rupees ,10 ratings
Lavie Women's Vertical Cheer Frame Clutch,Cocoblu Retail,749 rupees ,4.3 out of 5,400 g,20x5x115 cm,70 hours,79 rupees ,24 ratings
"JAMBHALA Women Evening Clutch Bag Satin Purses with Detachable Strap for Wedding, Party, Prom",Jambhala,1390 rupees ,3.7 out of 5,270 g,208x14x8 cm,70 hours,79 rupees ,36 ratings
Ada Fashion Modish Sling Bag Stylish Trending Cross Body Latest Handbag For Women/Girls,Ada _Fashions,597 rupees ,4.1 out of 5,300 g,22x9x14 cm,46 hours,99 rupees ,444 ratings
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349 rupees ,3.9 out of 5,300 g,18x12x6 cm,70 hours,79 rupees ,55 ratings
