title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review,vendor_score,best_vendor_rank
Fostelo Women's Nightingale Faux Leather Handbag (Large),FOSTELO,569,4.0,560 g,2032x2794x254 cm,46,99,66.0,0.599342238794301,1465.0
"LA REAT Women's Knot Design Evening Frame Clutch, Purse, Bridal Wedding Clutch Bag, Handbags Purses, Party Clutches",LA REAT,868,4.4,310 g,19x7x12 cm,94,40,66.0,0.7046061531808252,423.0
ADISA SL5038 women girls sling bag,Cocoblu Retail,595,4.0,410 g,2032x762x1715 cm,70,79,35.0,0.6307228737917473,1202.0
EXOTIC Dualtone Women Sling Bag,UBIQUITOUSEXOTIC®,1449,4.2,800 g,3175x127x2286 cm,166,40,358.0,0.7162197927940074,338.0
SABYANSHI women party clutches,Ask creations,1699,3.9,450 g,186x8x28 cm,70,79,8.0,0.5989720715111418,1468.0
For The Beautiful You Neck Embroidered Women's Clutch,Q HAN Enterprises,619,4.2,250 g,1778x381x1016 cm,142,40,52.0,0.6808112369788955,668.0
"JAMBHALA Women Clutch Evening Handbags with Chain Small Purse Bag for Party, Wedding",Jambhala,1290,3.2,220 g,276x174x43 cm,46,99,17.0,0.5396732605655277,1578.0
MaFs Women's Embroidered Parties Clutch,MaFs,599,4.0,280 g,1778x254x1016 cm,70,79,6.0,0.6246279512497356,1269.0
DOSYSO Evening Clutch Pearl Handle Designer Handbags for Women Stylish Latest Girls Rhinestone Crossbody sling Bag with Chain strap Ladies Stone Purse Wallet for Party Wedding side Bag,DOSYSO CREATIONS,749,4.3,350 g,18x6x13 cm,166,40,35.0,0.6680012791829303,808.0
ADISA textured formal party clutch with gold chain for women and girls,Cocoblu Retail,499,4.5,300 g,1905x508x1207 cm,46,99,9.0,0.6335150655224976,1171.0
Peora Clutch Purses for Women Wedding Handmade Evening Handbags Party Bridal Clutch,AZ ENT,1299,4.1,250 g,22x6x10 cm,118,40,631.0,0.7957441359884021,79.0
"TOOBA Handicraft Hand Embroidered Box Clutch Bag Purse For Bridal, Casual, Party, Wedding (Black Flower)",Tooba handicraft,299,3.9,200 g,17x6x11 cm,142,40,34.0,0.6640891005682894,855.0
"DUCHESS Women's Polti Bag with Pearl Handle and Tassel - Bridal Ethnic Traditional Casual Purse/Clutch/Handbag, 20 L X 2 W X 23 H Cm",DUCHESS,799,4.0,90 g,20x2x23 cm,214,40,97.0,0.6348531148036273,1157.0
Heart Home Women's Silk Clutch Handbag (Grey) - CTHH11276,ETrade Online,415,3.3,300 g,17x6x11 cm,94,40,66.0,0.6440189036493273,1044.0
Trend Overseas women gift bridal bag Brass Metal Clutch Sling Bag Indian Ethnic Antique clutch,Trend Overseas,1799,4.2,300 g,17x6x11 cm,94,40,7.0,0.676576275245136,710.0
EXOTIC hand bag for women,UBIQUITOUSEXOTIC®,1399,4.1,780 g,25x8x24 cm,70,79,207.0,0.6582070461703315,919.0
KNOOS Women's Glitter Floral Rhinestone Beaded Evening Party Clutch Wedding Bag Wallet |Detachable Chain Sling Strap | Ladies Purse Wallet,knoos,599,3.0,300 g,12x85x35 cm,118,40,18.0,0.6122971696255078,1377.0
Lino Perros Black Faux Leather Sling Bag (GOLDEN),LinoPerros,969,3.9,300 g,17x6x11 cm,46,99,178.0,0.6226446367218887,1295.0
Valerie Shoulder Bags Crossbody Bag Purses Handbags Crystals Evening Bag Silver for Women Girls Wedding Prom Party Club Bling Bling Sparkling,Valerie Bags,599,3.5,150 g,20x5x10 cm,46,99,533.0,0.6780397174446853,693.0
"TOOBA Handicraft Hand Embroidered Box Clutch Bag Purse For Bridal, Casual, Party, Wedding",Tooba handicraft,495,3.7,300 g,17x6x11 cm,46,99,545.0,0.6949059382202727,519.0
Lavie Ava Foldover Clutch 3,Cocoblu Retail,449,4.0,300 g,185x55x105 cm,166,40,89.0,0.6658720274662115,836.0
TOOBA Women Clutch,Tooba handicraft,775,3.6,300 g,17x6x11 cm,70,79,35.0,0.6024793967843954,1445.0
"TOOBA Handicraft Hand Embroidered Box Clutch Bag Purse For Bridal, Casual, Party, Wedding",Tooba handicraft,495,3.5,230 g,21x124x969 cm,94,40,241.0,0.7049215950728512,417.0
Peora Clutch Purses for Women Wedding Handmade Evening Handbags Party Bridal Clutch,AZ ENT,1299,4.1,250 g,22x6x10 cm,70,79,4.0,0.6178490609148106,1336.0
Dixon PU Synthetic Leather Classic Chain Handle Strap Shoulder Crossbody Hobo Stylish Slingbag For Women,LEKHX,484,3.7,300 g,5588x4572x762 cm,118,40,677.0,0.7949833578173804,80.0
"NFI essentials Clutch for Women's, Evening Handbags for Bridal Wedding Clutches Party Clutch purse Ladies Purse (WCW-5)",Ayaha Enterprises Pvt Ltd,599,4.0,221 g,18x3x10 cm,70,79,50.0,0.6337660613224251,1168.0
TOOBA Women's Handicraft Beautiful Diamond Crystal Flower Box Clutch Bag,Tooba handicraft,749,3.9,300 g,17x6x11 cm,118,40,25.0,0.6672980623582183,818.0
Craft Trade Potli Bags for Ladies for Wedding Return Gifts Ethnic Rajasthani Jaipuri Handmade Embroidery Matka Bag for Girls and Women,CRAFT TRADE,379,3.8,150 g,212x202x32 cm,118,40,33.0,0.6693766840986679,790.0
DOSYSO Rhinestone Crossbody chain sling Bag for women Evening Clutch Handbags for Girls trendy Latest Ladies crystal Glitter Purse Wallet for Party Wedding shoulder Bling Bag handheld bags small size,DOSYSO CREATIONS,699,4.2,370 g,225x163x91 cm,70,79,117.0,0.6583789790805421,915.0
SPOTIC Vegan Leather Stylish Unique Design Trendy Classy Look Fancy Gold Chain Strap Crossbody Hobo Sling Bag For Women,ROLEXO,599,4.2,450 g,1778x635x2286 cm,94,40,443.0,0.7887498187417082,91.0
Kuber Industries Ethnic Clutch Silk Potli Batwa Pouch Bag with Beadwork Gift For Women (Gold) - CTKTC23090,ETrade Online,593,3.9,300 g,17x6x11 cm,70,79,3.0,0.6178630141904792,1335.0
AILTINO Women's Box Clutch Purse Bag with sling chain,Digrwal,349,4.1,250 g,18x6x11 cm,70,79,73.0,0.6492976298554813,997.0
G N CREATION Glamorous Fashionista Women's & Girls Stylish Party Sling Bag Crossbody,G N CREATION,459,4.0,300 g,17x6x11 cm,46,99,66.0,0.6013243636321272,1451.0
Lavie Women's Curve Ava Envelope Clutch | Ladies Purse Handbag,Cocoblu Retail,599,4.0,350 g,20x3x12 cm,70,79,3.0,0.6240048982902341,1275.0
ADISA SL5022 women girls party sling bag,Cocoblu Retail,499,4.1,395 g,2286x826x1461 cm,94,40,66.0,0.6925052810458965,541.0
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,799,2.4,350 g,19x6x12 cm,46,99,273.0,0.5516879309463816,1572.0
Lavie Women's Ushawu Small Satchel Bag | Ladies Purse Handbag,Cocoblu Retail,899,4.0,350 g,25x10x24 cm,94,40,13.0,0.6815397662008985,656.0
AILTINO Women and Girls Box Clutch Combo Set Bag,Digrwal,599,4.2,250 g,18x6x11 cm,70,79,819.0,0.8059753032746578,60.0
Mochi Faux Leather Secure Magnet Snap Party Clutch For Women (38-7214),Cocoblu Retail,838,3.7,250 g,3048x1016x1524 cm,70,79,66.0,0.6005329129574714,1457.0
For The Beautiful You Women's Handbag,Q HAN Enterprises,350,4.0,200 g,1778x508x1016 cm,46,99,42.0,0.6118035262664339,1382.0
ADISA Women Girls Floral Print Sling Bag,Cocoblu Retail,498,4.2,330 g,1842x762x1397 cm,118,40,113.0,0.7088471309971823,384.0
Diva Dale Quilted Black Chain Multi-Pockets Party-Wear Sling Bag For Women,AJ INTERNATIONAL IND,799,4.1,300 g,17x6x11 cm,70,79,2.0,0.6264433506288981,1248.0
EXOTIC bridal sling bag,UBIQUITOUSEXOTIC®,849,4.2,340 g,14x45x11 cm,46,99,65.0,0.6200886265855646,1317.0
Lavie Tinsel Framed Clutch,Cocoblu Retail,729,4.0,300 g,20x5x11 cm,46,99,4.0,0.597082201080601,1484.0
ADISA Satin Knot formal party clutch with gold chain for women and girls,Cocoblu Retail,499,5.0,300 g,2032x508x1207 cm,118,40,140.0,0.7644365883159888,153.0
ADISA Women's Girls Cross Body Sling Bag with Pouch,Cocoblu Retail,598,4.2,450 g,2184x635x1549 cm,46,99,1.0,0.6113196786097832,1386.0
"ANANDI Women’s Beautiful Golden Box Clutch Bag, Stylish Trendy Ladies Handbag, Sling Bag, Woman Wallet or Purse for Evening Party, Rose Gold Shimmer Bridal Clutch for Wedding.",Anandi Creation,799,5.0,250 g,21x7x14 cm,166,40,22.0,0.7081504171897147,388.0
LX Women's Sling Bag Party Shopping Collage Girls Ladies Purse Crossbody Sling Strap,LEKHX,499,4.2,430 g,25x10x16 cm,166,40,39.0,0.6670868456391433,821.0
INOVERA Women Crossbody Straw Bag | Hexagon Shape Handbags | Shoulder Sling Bags |Summer Beach Purses with Tassel (White),Opus_Retail,589,5.0,260 g,20x7x19 cm,70,79,287.0,0.7456674382901234,208.0
"Kuber Industries Polyester Embroidered Woman Potli Bag, Pink - CTKTC31391",Kuber Mart Industries Pvt. Ltd.,393,4.2,300 g,17x6x11 cm,70,79,556.0,0.7550663064001016,182.0
Trend Overseas Women gift Silver Brass Metal bag Bridal Clutch Girls Party Purse,Trend Overseas,1699,4.3,300 g,17x6x11 cm,46,99,66.0,0.5977304109148143,1478.0
TOOBA Girl's Clutch.,Tooba handicraft,595,4.0,240 g,17x6x17 cm,166,40,33.0,0.6516108853162194,972.0
ADISA women girls round embroided sling bag (SL5080),Cocoblu Retail,399,4.2,300 g,1905x635x1905 cm,46,99,43.0,0.6236282640675996,1285.0
ADISA women girls V-flap crossbody sling bag with gold chain,Cocoblu Retail,498,4.0,300 g,17x6x11 cm,46,99,111.0,0.623466885462258,1287.0
Lino Perros Women Clutch,LinoPerros,1660,3.9,200 g,14x6x18 cm,46,99,14.0,0.5761330604242472,1542.0
Ayashilp Bridal Women's Antique Brass Purse Ethnic Handmade Metal Clutch Bag (Color: Silver),Rey Retails,749,4.3,300 g,17x6x11 cm,70,79,281.0,0.6977882416979185,487.0
EXOTIC Bridal ring clutch,UBIQUITOUSEXOTIC®,849,4.1,440 g,22x3x12 cm,70,79,14.0,0.6280345966315287,1230.0
ZOUK Printed Women's Jute Handcrafted Clutch,Cocoblu Retail,799,3.7,310 g,20x5x12 cm,70,79,69.0,0.6153582000577663,1363.0
Umera Clutch Wristlet Black For women,Umera Handicrafts,599,4.3,300 g,1778x381x1016 cm,70,79,60.0,0.6545929045207636,944.0
Diva Dale Fashionable Multi Pockets Phone Holder Card Holder Transparent Back Casual Party-Wear Spacious Crossbody Sling Bag For Women And Girls,AJ INTERNATIONAL IND,799,4.3,300 g,17x6x11 cm,94,40,60.0,0.7118528609038407,366.0
